縣市代碼,COUNTYNAME,識字,博士,研究所,研究所畢業,研究所肄業,大學院校,大學院校畢業,大學院校肄業,專科,專科畢業,專科肄業,高中、高職,高中畢業,高中肄業,高職畢業,高職肄業,國中、初職,國中畢業,國中肄業,初職畢業,初職肄業,小學,小學畢業,小學肄業,自修,不識字,未詳
"10001","臺北縣",3252566,6593,143536,109866,33670,700384,507636,192748,449874,380183,69691,1073559,246884,101528,566611,158536,484382,438311,38553,5934,1584,384456,348321,36135,9782,39988,0
"10002","宜蘭縣",377591,652,12560,8860,3700,63036,43307,19729,45924,34840,11084,111789,17201,9852,64714,20022,73763,67797,5386,449,131,65692,54947,10745,4175,10457,0
"10003","桃園縣",1604627,3126,65694,49307,16387,338763,236115,102648,205336,178756,26580,575281,118086,61094,316185,79916,215116,187929,24729,2042,416,195348,174714,20634,5963,26350,0
"10004","新竹縣",408577,923,21838,17964,3874,87504,62474,25030,49530,42444,7086,134344,27137,14140,72717,20350,50966,45705,4499,647,115,60886,53881,7005,2586,5189,0
"10005","苗栗縣",464374,694,13847,9932,3915,81950,55945,26005,48962,40583,8379,161715,29046,14144,94704,23821,70238,64769,4680,622,167,84100,71622,12478,2868,6031,0
"10006","臺中縣",1263474,1945,39918,27726,12192,229607,153590,76017,152923,126896,26027,450351,66117,31673,274700,77861,191939,174752,12890,3553,744,192521,175772,16749,4270,27855,0
"10007","彰化縣",1042548,1583,33017,23040,9977,182841,125412,57429,119801,100174,19627,340264,47317,24630,209009,59308,164150,147161,13594,2743,652,196049,171105,24944,4843,46756,0
"10008","南投縣",437115,610,12683,8723,3960,67014,45619,21395,48850,39386,9464,143702,31209,13409,75407,23677,76157,67774,7362,731,290,86800,72175,14625,1299,9437,0
"10009","雲林縣",578275,776,15511,10348,5163,86922,59371,27551,55208,45024,10184,175952,31783,15526,98648,29995,104357,89944,11761,2098,554,136544,110632,25912,3005,27478,0
"10010","嘉義縣",445612,522,10274,7011,3263,62577,41705,20872,42040,34755,7285,140562,24903,10237,81247,24175,78549,69129,7588,1527,305,109196,88495,20701,1892,19556,0
"10011","臺南縣",921553,1560,29659,20818,8841,171374,119079,52295,95802,81308,14494,293904,46729,24354,182270,40551,136852,119103,13972,2955,822,190613,159416,31197,1789,26169,0
"10012","高雄縣",1027356,1830,33196,23020,10176,182821,126839,55982,120731,99372,21359,370710,47217,23115,245319,55059,150068,133492,14352,1731,493,164366,139154,25212,3634,33321,1
"10013","屏東縣",721228,1000,20068,13671,6397,109601,76790,32811,81496,63647,17849,261774,43773,19515,159460,39026,109188,95003,12427,1365,393,134208,114514,19694,3893,22194,0
"10014","臺東縣",189511,155,4640,3047,1593,23640,15428,8212,17484,12870,4614,66076,11035,6465,36752,11824,32706,26238,5970,393,105,44012,36467,7545,798,4126,0
"10015","花蓮縣",282815,533,8844,6066,2778,43516,28650,14866,33218,26465,6753,101054,19858,11121,54185,15890,42454,35741,5785,696,232,52405,44596,7809,791,3327,0
"10016","澎湖縣",82038,171,2603,1737,866,13141,8690,4451,7503,6237,1266,25609,5060,2030,14661,3858,13301,11883,1161,175,82,19355,14086,5269,355,1374,0
"10017","基隆市",322004,469,10875,7898,2977,58769,41500,17269,43338,35257,8081,119810,22146,10386,69320,17958,43930,36742,6782,323,83,43463,38009,5454,1350,6224,0
"10018","新竹市",330089,1933,29001,24557,4444,85402,64117,21285,40112,35577,4535,96414,26571,14286,44509,11048,38090,34194,3589,259,48,38179,34699,3480,958,4776,0
"10019","臺中市",880070,3662,55027,41914,13113,219242,163381,55861,139249,121884,17365,290508,54918,25213,169986,40391,88051,76930,8920,1861,340,81997,74792,7205,2334,6903,0
"10020","嘉義市",219906,679,10776,7732,3044,47240,34435,12805,33270,29064,4206,73623,15393,7131,41338,9761,24406,20570,2912,789,135,29349,25899,3450,563,4385,0
"10021","臺南市",639200,2370,35096,26286,8810,152822,111722,41100,79441,68188,11253,198368,40360,19543,112183,26282,76653,65807,8438,2051,357,92752,82435,10317,1698,10107,0
"63000","臺北市",2198609,10160,195766,163447,32319,657268,528640,128628,328425,292245,36180,593389,175595,72757,283603,61434,191050,159215,27219,3902,714,215837,194690,21147,6714,18840,0
"64000","高雄市",1274302,3949,68674,50412,18262,288263,215492,72771,179716,154523,25193,424690,69264,31776,267227,56423,140011,119839,17296,2385,491,164616,142431,22185,4383,19399,0
"09020","金門縣",82941,178,3809,2593,1216,18582,12509,6073,9683,8304,1379,26340,6769,2615,13202,3754,10201,8095,2046,34,26,12504,6972,5532,1644,1096,0
"09007","連江縣",8016,2,378,284,94,1762,1296,466,953,805,148,2572,891,439,1074,168,941,793,138,7,3,1228,919,309,180,429,0
