SURVEY_YR,COUNTY_ID,COUNTYNAME,RLH_H_RAC,RLP_P_RAC
2008,10001,臺北縣,7.95,6.54
2008,10002,宜蘭縣,21.18,15.12
2008,10003,桃園縣,5.92,5
2008,10004,新竹縣,6.87,5.22
2008,10005,苗栗縣,12.18,8.29
2008,10006,臺中縣,6.35,4.72
2008,10007,彰化縣,14.14,7.49
2008,10008,南投縣,15.22,10.64
2008,10009,雲林縣,17.14,12.83
2008,10010,嘉義縣,8.6,6.03
2008,10011,臺南縣,7.85,5.07
2008,10012,高雄縣,10.25,8.35
2008,10013,屏東縣,26.99,20.73
2008,10014,臺東縣,45.33,46.72
2008,10015,花蓮縣,28.29,22.22
2008,10016,澎湖縣,,
2008,10017,基隆市,8.82,8.35
2008,10018,新竹市,7.6,6.04
2008,10019,臺中市,7.86,6.66
2008,10020,嘉義市,14.17,11.74
2008,10021,臺南市,12.08,10.18
2008,63000,臺北市,15.4,13.83
2008,64000,高雄市,15.01,13.21
2008,9020,金門縣,,
2008,9007,連江縣,,
