SURVEY_YR,SURVEY_MN,COUNTY_ID,COUNTYNAME,RLH_H_RAC,RLP_P_RAC
2011,6,65000,新北市,11.68,10.68
2011,6,63000,臺北市,18.28,16.81
2011,6,66000,臺中市,9.32,7.12
2011,6,67000,臺南市,13.12,11.25
2011,6,64000,高雄市,15.87,14.22
2011,6,10002,宜蘭縣,19.32,15.9
2011,6,10003,桃園縣,6.93,6.22
2011,6,10004,新竹縣,9.55,8.1
2011,6,10005,苗栗縣,14.07,10.51
2011,6,10007,彰化縣,14.34,6.87
2011,6,10008,南投縣,21.34,15.95
2011,6,10009,雲林縣,19.16,14.97
2011,6,10010,嘉義縣,7.9,5.68
2011,6,10013,屏東縣,28.11,21.6
2011,6,10014,臺東縣,52.66,50.67
2011,6,10015,花蓮縣,23.41,19.42
2011,6,10016,澎湖縣,41.48,28.19
2011,6,10017,基隆市,10.15,10.1
2011,6,10018,新竹市,8.44,7.27
2011,6,10020,嘉義市,12.32,9.35
2011,6,9020,金門縣,7.74,5.55
2011,6,9007,連江縣,19.46,8.59
